"","x1","x2","x3","x4","y"
"1",0.5885,0.0888,201,36.02,28
"2",0.8291,0.1399,198,39.32,30
"3",0.4974,0.0747,198,38.8,26
"4",0.5772,0.0983,191,40.71,30
"5",0.5703,0.1276,196,38.4,28
"6",0.5835,0.1671,201,34.1,31
"7",0.5276,0.1906,193,36.2,30
"8",0.5523,0.1061,191,36.75,27
"9",0.4007,0.2446,185,38.43,29
"10",0.477,0.167,203,33.54,24
"11",0.4313,0.2485,188,35.01,27
"12",0.4909,0.1227,198,36.67,29
"13",0.5668,0.124,185,33.88,24
"14",0.5113,0.1461,191,35.59,30
"15",0.3788,0.2315,191,38.01,28
"16",0.559,0.0494,193,32.38,32
"17",0.4799,0.1107,196,35.22,25
"18",0.5735,0.2521,183,31.73,29
"19",0.6318,0.1007,193,28.81,34
"20",0.4326,0.1067,196,35.6,23
"21",0.428,0.1956,188,35.28,32
"22",0.4401,0.1828,191,29.54,28
"23",0.5581,0.1627,196,31.35,28
"24",0.4866,0.1403,198,33.5,23
"25",0.5267,0.1563,193,34.56,32
"26",0.5439,0.2681,183,39.53,27
"27",0.4419,0.1236,196,26.7,34
"28",0.3998,0.13,188,30.77,26
"29",0.4325,0.0896,198,25.67,30
"30",0.4086,0.2071,178,36.22,30
"31",0.4624,0.2244,185,36.55,23
"32",0.4325,0.3437,185,34.91,31
"33",0.4903,0.1058,191,28.35,28
"34",0.4802,0.2326,185,33.53,27
"35",0.4345,0.1577,193,31.07,25
"36",0.4819,0.2327,185,36.52,32
"37",0.6244,0.1256,196,27.87,29
"38",0.3991,0.107,198,24.31,34
"39",0.4414,0.1343,193,31.26,28
"40",0.4013,0.0586,196,22.18,23
"41",0.3801,0.2383,185,35.25,26
"42",0.3498,0.1006,198,22.87,30
"43",0.3185,0.2164,193,24.49,32
"44",0.3097,0.1485,198,23.57,27
"45",0.4319,0.227,191,31.72,27
"46",0.3799,0.1649,188,27.9,25
"47",0.4091,0.1188,191,22.74,24
"48",0.3588,0.194,193,20.62,27
"49",0.4727,0.2495,185,30.46,25
"50",0.3212,0.2378,185,32.38,27
"51",0.3418,0.1592,191,25.75,31
"52",0.4285,0.2069,170,33.84,30
"53",0.3917,0.2084,185,27.83,25
"54",0.5769,0.0877,193,21.67,26
"55",0.4773,0.101,193,21.79,24
"56",0.4512,0.0942,201,20.17,26
"57",0.3096,0.055,193,29.07,31
"58",0.3089,0.1071,196,24.28,24
"59",0.4573,0.0728,193,19.24,27
"60",0.3214,0.2771,180,27.07,28
"61",0.5437,0.0528,196,18.95,22
"62",0.4121,0.213,188,21.59,30
"63",0.2185,0.1356,193,13.27,31
"64",0.3313,0.1043,196,16.3,23
"65",0.3302,0.113,191,23.01,25
"66",0.4677,0.1477,196,20.31,31
"67",0.2406,0.1317,188,17.46,33
"68",0.3007,0.2187,191,21.95,28
"69",0.2471,0.2127,188,14.57,37
"70",0.2894,0.2547,160,34.55,28
"71",0.3682,0.1591,191,22,24
"72",0.389,0.0898,196,13.37,34
"73",0.512,0.2146,188,20.51,24
"74",0.4449,0.1871,183,19.78,28
"75",0.4035,0.1528,191,16.36,33
"76",0.2683,0.156,191,16.03,23
"77",0.2719,0.2348,188,24.27,26
"78",0.3408,0.1623,180,18.49,28
"79",0.4393,0.1239,180,17.76,26
"80",0.3004,0.2178,185,13.31,25
"81",0.3503,0.1608,185,17.41,26
"82",0.4388,0.0805,193,13.67,25
"83",0.2578,0.1776,193,17.46,27
"84",0.2989,0.1668,185,14.38,35
"85",0.4455,0.1072,188,12.12,31
"86",0.3087,0.1821,185,12.63,25
"87",0.3678,0.188,180,12.24,30
"88",0.3667,0.1167,196,12,24
"89",0.3189,0.2617,185,24.46,27
"90",0.4187,0.1994,188,20.06,27
"91",0.5059,0.1706,170,17,25
"92",0.3195,0.1554,183,11.58,24
"93",0.2381,0.2282,185,10.08,24
"94",0.2802,0.1778,185,18.56,23
"95",0.381,0.1863,185,11.81,23
"96",0.1593,0.1014,193,13.81,32
